Test,Comparison,Year,Sex,Site,County,Cancer,p,Sig,Race
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Digestive,Polk County,47.5,0.2404 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Digestive,Polk County,37.9,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Digestive,Polk County,62,0.0017 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Digestive,Polk County,0,0.4401 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Digestive,Polk County,51.7,0.2764 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Digestive,Polk County,65.5,0.0254 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Digestive,Polk County,51.5,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Digestive,Polk County,82.5,0.0237 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Digestive,Polk County,0,0.7099 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Digestive,Polk County,65.7,0.5178 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Digestive,Polk County,92.8,0.0695 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Digestive,Polk County,27.4,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Digestive,Polk County,43,0.0801 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Digestive,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Digestive,Polk County,39,0.5234 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Digestive,Polk County,42.9,0.2914 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Digestive,Polk County,40.2,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Digestive,Polk County,72.8,0.0001 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Digestive,Polk County,54,0.7740 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Digestive,Polk County,79.1,0.0007 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Digestive,Polk County,62,0.0398 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Digestive,Polk County,50.9,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Digestive,Polk County,90.5,0.0067 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Digestive,Polk County,92.9,0.6002 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Digestive,Polk County,85.7,0.0499 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Digestive,Polk County,83,0.0678 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Digestive,Polk County,31.5,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Digestive,Polk County,55,0.0203 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Digestive,Polk County,26.3,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Digestive,Polk County,69.6,0.0098 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Digestive,Polk County,41.3,0.5127 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Digestive,Polk County,42.9,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Digestive,Polk County,79.4,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Digestive,Polk County,174.5,0.0330 ,1,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Digestive,Polk County,71.2,0.0086 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Digestive,Polk County,57.1,0.1469 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Digestive,Polk County,53.8,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Digestive,Polk County,144.1,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Digestive,Polk County,351.9,0.0196 ,1,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Digestive,Polk County,117.1,0.0020 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Digestive,Polk County,71.6,0.3250 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Digestive,Polk County,34.1,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Digestive,Polk County,39.8,0.5514 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Digestive,Polk County,48.3,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Digestive,Polk County,37.4,0.8651 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Digestive,Polk County,48.2,0.2445 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Digestive,Not Polk,35,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Digestive,Not Polk,60.1,0.0003 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Digestive,Not Polk,105.1,0.0423 ,1,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Digestive,Not Polk,31,0.7480 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Digestive,Not Polk,40.9,0.4691 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Digestive,Not Polk,45,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Digestive,Not Polk,58.1,0.2434 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Digestive,Not Polk,106.1,0.2324 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Digestive,Not Polk,53.2,0.5953 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Digestive,Not Polk,53.8,0.5539 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Digestive,Not Polk,27,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Digestive,Not Polk,58,0.0004 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Digestive,Not Polk,77.7,0.1966 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Digestive,Not Polk,13.1,0.2646 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Digestive,Not Polk,30.6,0.7691 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Digestive,Not Polk,37.1,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Digestive,Not Polk,59.9,0.0003 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Digestive,Not Polk,86.9,0.0136 ,1,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Digestive,Not Polk,53.6,0.0768 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Digestive,Not Polk,30.9,0.3665 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Digestive,Not Polk,47.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Digestive,Not Polk,69.9,0.0316 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Digestive,Not Polk,131.3,0.0173 ,1,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Digestive,Not Polk,58.8,0.4831 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Digestive,Not Polk,54.9,0.6237 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Digestive,Not Polk,28.7,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Digestive,Not Polk,49.6,0.0053 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Digestive,Not Polk,52.3,0.3845 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Digestive,Not Polk,48.4,0.0940 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Digestive,Not Polk,14.7,0.0479 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Digestive,Not Polk,39.5,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Digestive,Not Polk,66.5,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Digestive,Not Polk,63.8,0.1605 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Digestive,Not Polk,52.1,0.1239 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Digestive,Not Polk,37.6,0.7796 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Digestive,Not Polk,51.1,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Digestive,Not Polk,73.3,0.0231 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Digestive,Not Polk,93.9,0.1469 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Digestive,Not Polk,66.9,0.2509 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Digestive,Not Polk,49.6,0.9259 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Digestive,Not Polk,29.4,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Digestive,Not Polk,60.7,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Digestive,Not Polk,38.2,0.7838 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Digestive,Not Polk,38.3,0.3909 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Digestive,Not Polk,23.6,0.4007 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Digestive,Not Polk,41.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Digestive,Not Polk,70.7,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Digestive,Not Polk,110.9,0.0001 ,1,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Digestive,Not Polk,45.3,0.5503 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Digestive,Not Polk,41.2,1.0000 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Digestive,Not Polk,52.6,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Digestive,Not Polk,91.3,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Digestive,Not Polk,168.7,0.0010 ,1,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Digestive,Not Polk,63.4,0.3971 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Digestive,Not Polk,54,0.9305 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Digestive,Not Polk,31.7,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Digestive,Not Polk,49.5,0.0069 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Digestive,Not Polk,70,0.0718 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Digestive,Not Polk,32.5,0.9724 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Digestive,Not Polk,30.7,0.9114 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Colon and Rectum,Polk County,52.2,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Colon and Rectum,Polk County,79.5,0.0087 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Colon and Rectum,Polk County,15.3,0.6155 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Colon and Rectum,Polk County,26.5,0.0656 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Colon and Rectum,Polk County,30.5,0.1330 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Colon and Rectum,Polk County,61.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Colon and Rectum,Polk County,98.5,0.0767 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Colon and Rectum,Polk County,0,0.6313 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Colon and Rectum,Polk County,37.7,0.4326 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Colon and Rectum,Polk County,42.3,0.4848 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Colon and Rectum,Polk County,45.5,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Colon and Rectum,Polk County,73.8,0.0305 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Colon and Rectum,Polk County,32.5,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Colon and Rectum,Polk County,23.3,0.1783 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Colon and Rectum,Polk County,16.7,0.1041 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Colon and Rectum,Polk County,44.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Colon and Rectum,Polk County,62.7,0.0360 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Colon and Rectum,Polk County,0,0.3540 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Colon and Rectum,Polk County,23.9,0.0304 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Colon and Rectum,Polk County,18.7,0.0096 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Colon and Rectum,Polk County,51.9,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Colon and Rectum,Polk County,68.2,0.3036 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Colon and Rectum,Polk County,0,0.7054 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Colon and Rectum,Polk County,41,0.6313 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Colon and Rectum,Polk County,20.1,0.0407 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Colon and Rectum,Polk County,38.9,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Colon and Rectum,Polk County,60.4,0.0515 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Colon and Rectum,Polk County,0,0.8194 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Colon and Rectum,Polk County,8.4,0.0041 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Colon and Rectum,Polk County,15,0.0659 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Colon and Rectum,Polk County,43.1,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Colon and Rectum,Polk County,57.1,0.1018 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Colon and Rectum,Polk County,39.6,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Colon and Rectum,Polk County,53.6,0.3605 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Colon and Rectum,Polk County,60.1,0.1900 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Colon and Rectum,Polk County,48.6,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Colon and Rectum,Polk County,61.2,0.4388 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Colon and Rectum,Polk County,46.7,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Colon and Rectum,Polk County,69,0.3075 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Colon and Rectum,Polk County,73.8,0.2169 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Colon and Rectum,Polk County,38.2,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Colon and Rectum,Polk County,57.5,0.0720 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Colon and Rectum,Polk County,43.6,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Colon and Rectum,Polk County,42.7,0.8123 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Colon and Rectum,Polk County,48.2,0.6201 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Colon and Rectum,Polk County,36.7,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Colon and Rectum,Polk County,63,0.0023 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Colon and Rectum,Polk County,51.6,0.8473 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Colon and Rectum,Polk County,36.7,1.0000 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Colon and Rectum,Polk County,30.3,0.3869 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Colon and Rectum,Polk County,41.4,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Colon and Rectum,Polk County,82.7,0.0111 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Colon and Rectum,Polk County,55.5,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Colon and Rectum,Polk County,46.2,0.8604 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Male,Colon and Rectum,Polk County,32.3,0.3793 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Colon and Rectum,Polk County,33,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Colon and Rectum,Polk County,50.2,0.1088 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Colon and Rectum,Polk County,48.3,0.9915 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Colon and Rectum,Polk County,31.1,0.9518 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Female,Colon and Rectum,Polk County,26.4,0.5722 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Colon and Rectum,Not Polk,52.5,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Colon and Rectum,Not Polk,52.6,1.0000 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Colon and Rectum,Not Polk,71,0.6916 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Colon and Rectum,Not Polk,24.2,0.0604 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Both,Colon and Rectum,Not Polk,40.1,0.1982 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Colon and Rectum,Not Polk,58.7,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Colon and Rectum,Not Polk,57.6,0.9850 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Colon and Rectum,Not Polk,23.4,0.6539 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Colon and Rectum,Not Polk,33.1,0.3180 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Male,Colon and Rectum,Not Polk,28.2,0.0287 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Colon and Rectum,Not Polk,47.2,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Colon and Rectum,Not Polk,48.5,0.9488 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Colon and Rectum,Not Polk,87.6,0.3728 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Colon and Rectum,Not Polk,14,0.0092 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2003-2007,Female,Colon and Rectum,Not Polk,48.6,0.9795 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Colon and Rectum,Not Polk,43.8,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Colon and Rectum,Not Polk,58.1,0.0427 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Colon and Rectum,Not Polk,38.4,0.9509 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Colon and Rectum,Not Polk,31.3,0.2525 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Both,Colon and Rectum,Not Polk,27.3,0.0174 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Colon and Rectum,Not Polk,49.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Colon and Rectum,Not Polk,57.8,0.4799 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Colon and Rectum,Not Polk,155.8,0.3571 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Colon and Rectum,Not Polk,49.7,1.0000 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Male,Colon and Rectum,Not Polk,32.2,0.1257 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Colon and Rectum,Not Polk,39,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Colon and Rectum,Not Polk,56.6,0.0533 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Colon and Rectum,Not Polk,10.1,0.4184 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Colon and Rectum,Not Polk,20.6,0.0558 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2008-2012,Female,Colon and Rectum,Not Polk,22.1,0.0651 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Colon and Rectum,Not Polk,42.5,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Colon and Rectum,Not Polk,45.6,0.5989 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Colon and Rectum,Not Polk,149.1,0.0009 ,1,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Colon and Rectum,Not Polk,28.8,0.0437 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Both,Colon and Rectum,Not Polk,30.7,0.0450 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Colon and Rectum,Not Polk,47.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Colon and Rectum,Not Polk,55.3,0.4181 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Colon and Rectum,Not Polk,191.4,0.0420 ,1,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Colon and Rectum,Not Polk,29.9,0.0993 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Male,Colon and Rectum,Not Polk,33.9,0.1837 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Colon and Rectum,Not Polk,38.2,,0,White
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Colon and Rectum,Not Polk,38.2,1.0000 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Colon and Rectum,Not Polk,135.8,0.0083 ,1,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Colon and Rectum,Not Polk,26.6,0.2042 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2013-2017,Female,Colon and Rectum,Not Polk,28.5,0.1888 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Metro Counties,2018-2022,Both,Colon and Rectum,Not Polk,37.5,,0,White
